ID,Language_ID,Headword,Part_Of_Speech,HeadwordPDLMA,Sources
E0099,zai,aju,s,a*ju,JLC;RGL03;RLC04;RLC10
E0100,zai,alcanfor,s,alka-nfo!r,RLC04;RLC10
E0101,zai,alcatras,s,alka-tra!s,RLC04;RLC10
E1132,zai,almendra,s,alme*ndra,JLC;RLC10;RLC14
E0105,zai,anis estreya,s,ani!s estre*ya,RLC04
E1195,zai,anisadu xuba',s,anisa*du zhuba!7,VC17
E0108,zai,anona,s,ano*na,RLC04;RLC10;FSL14
E0109,zai,apiu,s,a*pyu,RLC04;RLC10
E0110,zai,arnica,s,a*rrni-ka,RGL03;RLC04;RLC10
E0111,zai,arros,s,a-rro!s,RLC10
E0123,zai,baba' xti nite,s,baba!' (x.ti*) nite,RLC10
E1235,zai,bacua',s,ba-kwa7,FSL17;VC17
E0006,zai,bacuela gui'xhi',s,ba-kwe*lla* gi7xi,FSL12;FSL14;RLC14;VOT14
E0005,zai,bacuela niza,s,ba-kwe*lla* (niza),JLC;ND;VP;RGL03;RLC10;FSL14;RLL14
E0007,zai,bacuugu',s,ba-kuugu,EJG;RGL03;FSL14
E1134,zai,bacuxu',s,ba-kuzhu!7,ND;VP;RLC04;RLC10
E0009,zai,bacuxu' quichi',s,ba-kuzhu!7 kichi!7,ND;VP;RLC04;RLC10;FSL14;RLC14;FSL15
E0008,zai,bacuxu' rosado,s,ba-kuzhu!7 rosa*du,ND;VP;RLC04;RLC10;FSL14;RLC14;FSL15
E1108,zai,badana,s,ba-da*na,FSL14
E0010,zai,badandi',s,ba-dandi!7,EJG
E0098,zai,badxa laga,s,ba-dxa* la*ga,RLC04;RLC10
E0122,zai,baina,s,ba*yna,JLC;RGL03;RLC10
E0011,zai,baladxi',s,ba-ladxi!7,VC12;FSL14;RLC14
E0012,zai,baladxi' guiichi,s,ba-ladxi!' giichi*,RLC10;FSL14;RLC14
E0013,zai,bandadi',s,ba-ndadi!7,EJG;JLC;VP;RLC04;RLC10;RLC14
E0014,zai,bandaga,s,ba-ndaga,EJG;JLC;VP;RGL03;RLC10;VOT14
E0015,zai,bandaga bata,s,ba-ndaga bata,RLC04;GPB10;RLC10
E0019,zai,bandaga bia,s,ba-ndaga bya*,RGL03
E0017,zai,bandaga biduaa,s,ba-ndaga bi-dwaa,RLC10
E0020,zai,bandaga bioongo',s,ba-ndaga byoongo,RLC04;RLC10
E0131,zai,bandaga granada,s,ba-ndaga grana*da,RLC04;RLC10
E0022,zai,bandaga gueta guu,s,ba-ndaga geta guu*,RGL03;RLC10
E1219,zai,bandaga guie',s,ba-ndaga gye7,VC17
E1116,zai,bandaga huigu',s,ba-ndaga wigu!7,RLC14
E0025,zai,bandaga mani' xubi,s,ba-ndaga mani!' zhu!bi,RLC04;RLC10
E0026,zai,bandaga mudu,s,ba-ndaga mudu*,RGL03;RLC04;RLC10;FSL14;RLC14;VOT14
E0027,zai,bandaga naranja,s,ba-ndaga nara*nja,RLC04;RLC10
E0029,zai,bandaga nisa,s,ba-ndaga nisa,RLC10
E0033,zai,bandaga ri'ni',s,ba-ndaga ri7ni,RGL03;RLC04;RLC10;VOT14
E0031,zai,bandaga riguiidi',s,ba-ndaga ri-giidi,JLC;RLC07;RLC10
E1154,zai,bandaga rini,s,ba-ndaga rini,JLC;RLC10;RLC14;VOT14
E0128,zai,bandaga ta guu,s,ba-ndaga ta guu*,RLC10
E0129,zai,bandaga te,s,ba-ndaga te,JLC;SOO14;VOT14
E1117,zai,bandaga xolo,s,ba-ndaga zhollo,RLC14
E0135,zai,bandaga yaa,s,ba-ndaga yaa,RLC10
E0136,zai,bandaga yaxhu,s,ba-ndaga yaxu,RLC04;RLC10
E0132,zai,bandaga yerbasanta,s,ba-ndaga yerbasa*nta,RLC04;RLC10;VOT14
E1262,zai,bandaga yua,s,ba-ndaga yuwa,VC17
E1187,zai,bandaga yuxi,s,ba-ndaga yuzhi,VC17
E0138,zai,bandaga zee,s,ba-ndaga zee,JLC;RLC10;RLC14
E0140,zai,bandui',s,ba-ndwi*7,EJG;JLC;VP;RGL03;RLC04;RLC05;RLC10
E0141,zai,bandui' gui'xi',s,ba-ndwi*7 gi7xi,RGL03;RLC04;FSL14
E0142,zai,bandui' roonde',s,ba-ndwi*' roonde*,RGL03;RLC04;RLC10;FSL14
E0113,zai,bara,s,ba*ra,JLC;RLC10
E0114,zai,bara mboolo',s,ba*ra mboolo,JLC;RLC10;RLC14;VOT14
E0115,zai,bara nite,s,ba*ra nite,JLC;RLC10;RLC14;SOO14;VOT14
E0119,zai,bara xiaa,s,ba*ra zhyaa*,JLC;FSL14;VC17
E0120,zai,bara yu'la',s,ba*ra yu!7la,JLC;RLC10
E0121,zai,bara ziuula',s,ba*ra z.yuula,RLC10
E0145,zai,baruusa,s,ba-ruu*sa*,JLC;RLC10;RLC14;VOT14
E1224,zai,bato' yaga,s,ba-to7 yaga,VC17
E0147,zai,batuuba',s,ba-tuuba,RGL03;RLC09;RLC10;FSL15;RLC15;VOT15
E0148,zai,batuuba' gui'xhi',s,ba-tuuba gi'xi,JLC;RLC14
