ExampleID,Senses,ZapPDLMAText,ZapAPText,SpaText,EngText,Audio,Sources
EX0000,S0003,,"yaga almendra la? nasoo ne rudiini cadxi cuaananaxi huiini' la? almendra la? nooni naxiña la? ne nuuni naguchi rácani dxiña ne rócabeni sacasi ne bandága stìni la? nabata riqui'iñe para gata' benda lu, aca' ornea, a'a chuu ñee suquii","el árbol de almendra es alto y da unos frutos la almendra, hay rojo y hay amarillo se prepara en dulce y también lo comen solo (sin preparar) y su hoja es plana, se utiliza para ponerle el pescado encima (como plato) para honear, este para meter al horno","the almond tree is tall and produces small fruits some almonds are red and some are yellow one can make it into sweets or eat it as is its leaves are wide and can be placed over fish when baking it in an (clay) oven",681321db39dc84184d1d04d20050a1b5,
EX0001,S0008,,"árnica la? ti este yaga huiini', este ricá ti guie' guchi luni la? ne bandaga verde napani ribíni rindaabini la? para gaca binni, rúnini remediu para ricaacabeni lavati... jaa cuaana la? ribícabe ndani nisa ca la? ne este riuuni ñee binni ora cayuuba'","el árnica este es una plantita, este da una flor amarilla y tiene hojas verdes se pone a celentar y se hierve para que las personas, hace una curación (eliminar molestias, síntomas, cura) para usarlo como lavatina, tomar un baño de asiento y se unta en el pie de las personas cuando les duele","arnica is a small plant that puts out yellow flowers and green leaves it can be boiled in order to make medicine it can be used in enemas, in a sit bath, or rubbed on the legs when inflamed",cdbe071f90afaf10e6ff8711502396d4,
EX0002,S0061,,"bacuella gui'xhi ca la? ribeeni ti batuba naro'ba ora ma nambooloni la? oragá ri uchuugu binnini ri uchuugucabeni la? ne racá la? rúnicabeni chupa ndaa rusiàcabe ndaanini, ribeecabe irà la'dxi nápani ndaanini la? ne rucui'dxicabeni ora ma bibídxini la? ruguucabe gui'ri ndaanini la? ne rundi'bicabeni para que iladi ga gui'ri ca riqui'ñecabecani ora ma secabe la? ma ricani déchecabe ma zinècabeni Esquipula este para ngá nga riquiiñecabe batuuba' ca, rugucabe gui'ri ca la? ne riquiiñeni para chinècabe chuu gui'ri sticabe ndani para gàpani gui'ri ca para cadi guilaa por ngà nga este riquiiñe' batuuba' sti bacuella gui'xhi","la piñuela saca un escapo o tallo floral grande cuando ya está grueso y grande, es cuando lo cortan las personas van a cortarlo, después lo parten en dos lo limpian por dentro, le sacan toda la semilla que tiene dentro y lo secan cuando se ya secó, le meten velan adentro y lo amarran, lo usan para que no se despeguen las velas cuando se van, se lo ponen en la espalda, lo llevan a Esquipulas este para eso utilizan el escapo o tallo floral, meten las velas y sirve para transportar, para guardar sus velas, para que cuide las velas para que no se quiebren para eso se utiliza el escapo o tallo floral de la piñuela","the plant named bacuella gui'xhi grows a long scape when it (the scape) is large, people cut it down they cut it and split it in two halves the inside is cleaned, the pith is removed and it (the scape) is air dried once it is dry, candles are placed inside and (the two halves are) tied, to keep the candles from splitting when people go on pilgrimage to Esquipulas, they hang it (the scape with the candle) on their backs. that's what the scape is used for, the candles are put inside it and it is used for transport, to take the candles along, to care for the candles so that they don't break that's what the scape of the bacuella gui'xhi is used for",d274f9ea93bced33d41a9b85f8b26433,
EX0003,S0012,,"bacuella gui'xhi ca la? ridxélani ndani ca gui'xhi ra ra jmá naxhii ca la? ne lu dàni ne lu uriá dàni ca la? ne ribeeni ne stale stale claseni, rápani guiichi puntani la? ne ribeeni ti guie' huini xiña' casi xcola, casi xcola mani xubi ne dxiqué la? ruyanacabeni, ró bueyni ca ni ricá lu yaga ca","la piñuela se encuentra en los montes más boscosos y en cerros y en orillas de cerros y da, y hay de muchos tipos, tiene una espina en la punta y saca una florecita roja como la cola de, como la cola de alacrán y anteriormente se lo daban de comer a, lo comían los bueyen que estaban atados","the bacuella gui'xhi grows in the thick forests and also on the hills and at the edge of the hills, and it produces... there are many kinds, it has a thorn on the tip, it produces a small red flower which looks like the tail of a scorpion, and in the past it was fed to the bulls when they were tied up",2fc616c32617bee1d51f210680a98969,
EX0004,S0017,,"bacuxu' bacuxu' rosadu la? luba'ní, napani, este ribeeni casi morado huiini la? ne naxiña huiini' puntani, pero jmá nápani rosado huiini ne nuu bacuxu' naquichi' también para lujusini qui riquiiñedicani qui adi para remediudi paraa ucuaatuni, ra lidxi na Dita ¿a lidxi Luis Rosado?, ah ra lidxi Luis xiiñi' xii, ya ajaa xiiñi na Lijandra Man, a lidxi Luis xiiñi' na Lijandra Man","la bellísima rosado es enredadera, tiene, este saca como moradito y rojito en la punta, pero tiene más rosadito y hay la bellísima blanca también sólo para lujo, lo se utiliza no es para remedios dónde lo agarraron, en la casa de doña Dita ¿en la casa de Luisa Rosado? ah en la casa de Luis hijo de, hi, sí ajá hijo de dona Alejandra Man, en la casa de Luis hijo de doña Alejandra Man","the pink bacuxu' is a vine, it has tips that are sort of purple and red although it has even more pink in it there is also a white bacuxu' it is only ornamental, not medicinal where was it picked? at Mrs. Dita's house At Luis Rosado's house? Ah, at Luis' house, Mrs. Alejandra Man's son, at Luis' house, Mrs. Alejandra Man's son,",6490638d9d64218481571d3c683b7eee,
EX0005,S0023,,"baladxi' guiichi ca la? ti ti yaga huiinini la?, nápani guiichi puntani la? ne bandaga stini jaa naga' la? ne tiempu usiguié si nga rihuinnini ne dxique la? rudiicabeni gó biuhuini ne pue nabé rihuinnini lade ca, ca guela, lade guela, lade sorgo ra rugoocabe binì","el mata buey es una plantita, tiene espinas en la punta y sus hojas están frescas y sólo se da en tiempo de lluvia y anteriormente se lo daban de comer al cerdo y, pues, se veía entre las milpas, entre los sorgos en donde sembraban el maíz","the baladxi' guiichi is an herb, it has thorns at the tip and its leaves are green in the past it was fed to the pigs, it is often found amidst the corn fields, amidst the sorghum planted in former corn fields",a426537ac3aa3dc570252a5a928dafdf,
EX0006,S0061;S0229,,"batuuba' la? rábicabeni ti ti yaga la? nápani cadxi vara stìni la? naduxhu punta, nápani guiichi naduxhu punta la? ne ribeeni ti penca la? nasoo ne lu penca que la? ricá cadxi cuaananaxhi huiini' color café ne riquiiñecabeni la? para, para gase binni también, riquiiñecabeni la? para gàse binni la? ora napa por ejemplo napa beede' ladi peru xinga la? nababa huiinini, nisa stìni la? nabàba huiini pue, ribaba ládicabe la? ne peru buenoni para para gui'dxu'","le llaman batuuba' (o escapo) a una planta tiene unas varas filososas en la punta, tiene espinas filosas en la punta y saca una peca alta y en la penca se dan unas frutitas de color café y lo utilizan para, para que las personas se bañen también, lo usan para darse un baño cuando, por ejemplo, tiene sarna en el cuerpo pero sólo que da un poco comezón, su néctar da un poco de comezón pues, les da comezón en el cuerpo, pero es bueno para los granos","batuuba' is the name given to a plant it has a stalk, sharp ends, sharp thorns on the ends, it produces a tall scape and on it grown small fruits which are brown in color it is used for bathing too, it is used for bathing, for people to bathe in when they have scabies for instance although it itches a little, its sap makes you itchy, it makes the skin itchy, but it is good in the treatment of skin rashes",65a37b73481c96a7e6e9153c44cba9bd,
EX0007,S0069,,"be'za' yaga ca la? ti yaga naro'bani la? rácani de chii bia' ne bandga stìni la?, rusábani bandaga la?, tiempo de abril ca la? ma cabeeni xpadagani verde ri'ni la? ne riquiiñecabeni, dxiqué nuu loro la?, ruchuugucabe ca bandaga riini ca la? ruguunecabeni loro la? para igaa xhiaame para chuuneme la? igaa xhiaa igaane xiàme ngá nga be'za' yaga ne ricá ti semiá redondo luni, lui' casi diaga binni lá","el guanacastle es un árbo grande, crece unos diez metros y su hoja, se caen sus hojas, el mes de abril saca sus hojas verdes (tiernas) y lo utilizan, antes habían loros, cortaban las hojas tiernas y se lo ponían al loro para que crecieran sus alas, para que se lo pongan y crescan sus alas ese es el guanacastle y da una semilla redonda, parece la oreja de una persona","the be'za' yaga is a large tree, it grows as much as ten meters tall, it looses its leaves and in April the leaves grow back in the past it was used, there used to be parrots, people would harvest young leaves and given them to the parrots to make their wings grow, so that they take them to grow their wings that's the be'za' yaga, it produces a round seed pod, it resembles a person's ear",b74dc1202b736a8e0d679fbf670de53c,
EX0008,S0072,,"yaga beu la? ti yaga naro'ba ne rudiini ti guie'  huiini' color na, na moradogá la? ne cuaananaxhi stìni la? verdeni ora ora nari'nini, pero ora ma zigàni la? nayaaseni ne dxique dxi xcuidi laadu la? ritópado, ora ma cayáni ora ma cayáni ca la? ritopadoni la? para guni guni jñaaduni dxiña, nanixeni ro'doni dxiña ne laani nga rábicabe cereza","el árbol de cereza es un árbol grande y da un la florecita de color medio morado y su fruto es verde cuando está tierno, pero cuando ya va madurando es negro y antes cuando éramos niños ibamos a recogerlos, cuando ya estaban madurando los ibamos a recoger para que nuestra madre lo preparara en dulce, era rico comerlo en dulce y es lo que se conoce como cereza","the cherry tree is a large tree, it produces a small flower that is purple in color, and fruits which are green early on and black when they ripen in the past, when we were kids, we would gather the fruit when they were ripe, we would gather them to get our mother to make a dessert, its delicious as a dessert, it's what is called cherry",df71f6d0d1ef9a5aa861bf747defd92d,
EX0009,S0080,,"biaachi la? ti yaga huiinini napani stale guiichi la? ni rábido biaachi ca la? purti nuu binni runi ruchee la? zandaca ora rabicabe sti yaga biaachi ni nuu dàni ca naa ni riene biaachi la? ni napa yaga stale guiichi ca la? ne ricá ti guie' naquichi naguchi, naduubi huiini' luni nabiixe ne cuananaxhi stìni la? ora nayaa la? verde laa, pero ora ma nagüini ca la? ma güini la? naguchi ne nabé ró guchachini la? ne laaca zanda gó binnini también pero nabé naí' nahínì ne stobi ni nuu dàni ca la? ngá casi yaga biádxi laa, peru nuu ca binni góla ca la? laaca rábicabeni biaachi, ni nuu dàni ca, peru ngá laaca casi yaga biadxi ngaca naguchi cuaananaxhi ca la? peru yaga ca la? cadi qui gápadini guiichi, casi yaga biádxini ngá puru dàni ridxélani, ndi nuu ndi ndaani dàni también la? ne nuuni lu ca guiixhi layú xaguete', nabé ró guchachini","el ciruelillo es una plantita, tiene muchas espinas a lo que llamamos ciruelillo, porque hay personas que se confunden, puede que le llamen ciruelillo a otro árbol que está en el cerro lo que conozco como ciruelillo es el árbol que tiene mucha espina y da flores blancas con amarillas, suavecita y pequeñita y su fruto, cuando está tierno, es verde, pero cuando ya está maduro es amarillo y lo comen mucho las iguanas, también lo pueden comer las personas pero es muy agrio y el otro que está en el cerro es como el árbol de ciruela, pero hay ancianos que también le llaman ciruelillo, el que está en el cerro, pero ese también es como la ciruela la fruta es amarilla pero el árbol no tiene espinas, es como el árbol de ciruela, pero ese se cuentran sólo en los cerros, este se encuentra también en el cerro y se cuentra en los montes de la parte baja, lo comen mucho los iguanas","biaachi is a small tree with many thorns that's what we call biaachi because some people confuse the biaachi with a tree that is found up in the hills what I know about biaachi is that it is a tree with many thorns which produces flower that are white and yellow, and its fruit is green early on and when it ripens, when it ripens it is yellow the iguanas eat it and people can also eat it but it is said that it is very sour the other tree up in the hills is similar to the cherry tree, but some of the elders say that the tree up on the hills is also called biaachi, but it alsmost like a cherry tree the fruit is yellow but the tree is not thorny, its almost like a cherry tree, but it is only found up on the hills, biaachi is also found in the hills but also in the lower elevations and the iguanas eat its fruits",7752d3f7caa86a7bc2225d1c9a180208,
EX0010,S0081,,"biaahui ca la? ti yaga naga'ni la? risooni bia' chii bia' ne ricá caadxi bola verde luni la? naro'ba ne napani biidxi stìni la? color color nagu'xhu ne nabata biaahui ne rócabeni ne napani stale cuba, cuba yaase stíni ca nga nanaxhini, nanixheni rócabeni","el zapote negro es un árbol frondoso, llega a medir aproximadamente diez metros y da unas bolas verdes grandes y su semilla es de color ahumado y plano el zapoteco y lo comen, y tiene mucha, su pulpa negra es lo dulce, es delicioso al comerlo","the biaahui is a leafy tree, tall, up to ten meters in height, produces large green spherical fruits and its seeds are gray and flat people eat the biaahui, it has a lot of pulp, the pulp is black and sweet, it's delicious to eat",dad088cb8ba5570594c6f1419fc75881,
EX0011,S0082,,"laaca casi biaahui cha'huicani ne ra, risooni también casi ti casi, bia' bia' chii bia', pero ca bola huiini' verde ca la? jmá nahuiinicani ne laaca ngueca, ngaca forma stìni la? ne semiá stìni ca laaca color gu'xhu, color nagu'xhu pero jmá xcaadxi' nahuiini biaahui do' ca ngá casi ora de gui'xhini ne ridxelani lu dàni ca","tambiés es como zapote bueno y, llega a medir como diez metros, pero esas bolitas verdes son más pequeñas y tienen la misma forma y su semilla también es color ahumado, pero un poco más pequeño ... ese es como de monte y se puede encontrar en ese cerro","it is like the good biaahui, it is also tall, it can reach up to ten meters, but the green-clored fruits are small, they are smaller, and its seeds are grey, the color of smoke, but a bit smaller biaahui do' grows wild and can be found up on the hills",af9af8a8b2d80fdbcdcee37b2ea1a1c2,
EX0012,S0087,,"biadxi guchi ca la? ridxélani lade guidxi la? ne ricá cadxi bola guchi luni la? rácani dxiña ne biidxi' stìni la? redondo, yaga ca la? pues qui gapadini guiichi la? ne ne risooni bia' chii bia' ne rácani xáda ne bandaga stìni la? verde ne ti redondo, nagaa peru ora napani biadxi cacá la? qui gapadini bandaga, ora ma bia ma ma bi bigüi biadxi ma gasti biadxi oracà ma zibeeni bandaga ma gapani bandaga stubi","la ciruela amarilla se puede encontrar en el pueblo y da unas bolas amarillas se prepara en dulce y su semilla es redondo, el árbol no tiene espinas y llega a medir como diez metros y se hace chaparro y su hoja es verde y redondo, frondoso pero cuando tiene ciruelas no tiene hojas, cuando la ciruela ya maduró y ya no hay ciruelas, entonces saca hojas y llega a tener hojas de nuevo","the yellow plum can be found in town, it produces yellow spherical fruits you can make a dessert with them (the fruits), its seeds are round, the tree doesn't have thorns, it is tall, it can be up to ten meters tall although it can also be short, its leaves are green and round, its leafy but when it has plums, it doesn't have leaves, and when the plums are ripe, when there are no more plums (on the tree), then it sprouts leaves, it has leaves again",8a7f6dc3063ada43b2c93a17bc94acad,
EX0013,S0088,,"biadxi mayu ca la? qui risoodini la? ne rácani laaca xada ca la? risooni bia' tapa bia'zi ne ricá caadxi bola naxiñà lúni ne nàpani casi casi na na xcaani ládini, pur ngá nga rabicabeni biadxi mayu la? ne rácani dxiña ne naníxeni","la ciruela de mayo no se hace muy alto y también se queda chaparro, llega a medir solamente cuatro metros y da unas bolas rojas  y su textura es como ... por eso le llaman ciruela de mayo y se prepara en dulce y es sabroso","the May plum it doesn't grow tall, it stays short, it might measure up to four meters, and it produces round red fruits that have a texture, that's what is called May plum, it can be made into a dessert that is delicious",9d062267a7168098f8f4389453854c7f,
EX0014,S0089,,"biadxi rii ca la? rácani nasoo la?,  risooni bia' chii doce bia' ne ricá caadxi' bola verde luni la? rácani curadu, quiidecabe ládini la? ne uguucabe ndaani' alcohol la? ne nisa la? ne despue de ma uca curtirni ca la? ma cueecabeni ndaani' nisa alcohol ca la?  ma gúnicabe nisa dxiña stìni la? racá ma caacabe nisa dxiña ca la? ne cuini bia' chupa chonna beu' para gaca curtirni la? ne racà ma caacabe nisa dxiña ca la? ne nisa alcohol ca la? para iree ácani curado ne ma utoocabe la? gócabe","la ciruela rii llega a ser alto, llegar a medir aproximadamente diez o doce metros de altura y da unas bolas verdes se prepara en curado, le hacen agujeros a los lados y lo ponen en alcohol y agua, y después de que se haya curtido, lo sacan del agua con alcohol para hacer la miel, después le echan la miel y lo dejan reposar como unos cuantos meses para que se curta después le echan la miel y el agua con alcohol (mistela) para que termine de prepararse y lo vendan y coman","the plum tree can get to be tall, as tall as twelve meters, and it produces green spherical fruits you can ferment it to make a dessert, you pierce the skin and soak it in alcohol and water, and afterwards, you take the plums out of the alcohol and water, then you sweaten water with honey and it is left to ferment for two or three months then you add water sweetened with honey and water and alcohol to finish up the process and they it is sold and eaten",b4d01ffc70d823e51af357e8868f9bc5,
EX0015,S0114,,"bidxí la? ti bola huiinisi ni la? nápani guiichi ládini la?, rusiàcabe ládini ribeecabe irà guiichi ca la? ne para gócabeni la? rusaacabe udxiu, raxhacabe tapa biní huiini guidi stíni la? racá ma gócabeni ne naxinà ndaanini la? ne nápani biidxi nayaase' ne nuuni rosado ne bidxi yaase'","la pitaya es sólo una bolita, tiene espinas en el cuerpo, lo limpian, le quitan toda la espina y para comerlo le pasan el cuchillom quitan sus cuatro venitas y entonces lo comen y su interior es rojo y tiene semillas negras y hay en color rosado y pitahaya negra","the pitaya is just a small ball, it has thorns on its skin, its skin is cleaned, the thorns are all removed so that it can be eaten, it has four veins that can be removed with a knife so that you can eat it (the fruit) its inside is red and it has black seeds, the pitaya can be pink or black",3c034003e4d5eac118c06e13674831fc,
EX0016,S0115,,"bidxí beenda' ca la? ti yaga bidxíni la?, rudiinàni layú, color, color naga'ni ne ribeeni cuaananaxhi stìni la? caadxi bidxí huiini' nagaa la? verde ne  dentruni la? napani caadxi' biidxi' yaase' huiini' la? ne naxiñà dentro ca, ndaani'","la cardona, sibiri o (pitaya serpiente) es un árbol de cactus y extiende sus ramas hacia el suelo, su color es verde y da su fruto, unas pitayas verdes pequeñas y dentro tiene unas semillas negritas","the bidxí beenda' is a tree-like cactus that extends its branches at ground level, it is green and produces fruits, a few prickly pears green in color, and inside them there are a few black and red seeds, they (the seeds) are inside it (the fruit)",97eea86168c6b866f952194546339f64,
EX0017,S0116,,"bidxí cha'hui ca la? rácani bidxí, nápani stale nàni casi bidxí toope, pero jmá nápani stale nàni ne lu ne guie' stìni la? casi ti nalase la? ne racá ma zi ácani forma de de bola huiini, bola huiini la? dede ra ma udiini forma casi bidxí ca ti bola, ácani ti bola huiini bola ne luguià ca ma ricá guie' ca ne ora ma bigüini la? ma riaba guie' stìni ca la? ni biree, ni undani, ni gulenèni ca la? ne racá ma rácani naxinà bidxí ca ro pájaro ni, ro binnini la? ne napani guiichi ladini también, tanto yaga ca la? tanto bidxí ca ora ma bigüini ca la? laani ma stùbi guiichi ca siaba ora laani ma bixuuba' guiichi stìni ca ládini la? ne racà ma zando góloni","la pitaya tiene muchas ramas como la pitaya blanca, pero tiene más ramas y su flor es delgada y va tomando forma de una bolita, una bolita hasta que toma la forma de pitaya, se forma una bolita y en la parte de arriba sale la flor y cuando ya está maduro se cae la flor que salió y luego la pitaya se vuelve roja lo comen los pájaros, lo comen las personas y tiene espinas en el cuerpo, tanto el árbol como la pitaya cuando ya maduró, solita las espinas caerán, cuando se le caen las espinas ya lo puedes comer","this pitaya is like the white pitaya, it has many branches like the bidxí toope but even more branches and its flower is sort of slim, but takes the form a little ball, a little ball, right? until it takes on the shape of a pitaya it is a ball, it produces a small ball and on it grows the flower and once it is ripe, the flower that had sprouted falls off, and the pitaya turns red birds eat it, people eat, it has fine thorns on the outside, both the tree and the pitaya do once it is ripe, the thorns fall off, and once it has shed the thorn from the outside, then one can eat it",40772f3783fe4b6c17b8e03cfa6bd28d,
EX0018,S0117,,"bidxí dxiña ca la? ridxélani la? lu dàni huiinisi Merodio ca, racasi nga ridxela bidxí dxiña ca la? ribeecabe guiichi ca la?, ti bola huiinini verdeni la? nápani guiichi la? ruraacabe ládini la? para gúnicabeni dxiña, ruraacabe irá xhabaladi ne ca irá xhabaladi ca, irá guiichi ca la? para ma guni prepararcabe gùnicabeni dxiña ucuicabeni ndaani nisa ndaa la? ne raca ma qui, para iree roonde stìni ca la? ne racá ma usábacabe ndaani nisa dxiña la? ne ma gúnicabeni dxiña nabidxi para ma gócabe","la biznaga se encuentra en el cerrito del Merodio, sólo ahí se cuentra la biznaga le sacan las espinas, es una bolita verde que tiene espinas, lo pelan para prepararlo en dulce, le pelan toda la cáscara, toda la cáscara y toda la espina, para prepararlo en dulce, lo ponen a cocer en agua caliente y de ahí, para que salga su baba, entonces lo ponen en la miel y lo cocen hasta dejarlo seco para entoncer comerlo","this type of barrel cactus can be found in the Merodio hill, only there can it be found the thorns are removed, its a green ball, right? it has thorns, it is peeled right? in order to make it into a sweet., the peel is removed along with all the thorns right? so that it can be made into a sweet it is boiled in water then, in order to remove the sap, it is placed in honey and cooked, then it is set to dry out so that you can eat it",083613b68186bb38b74b83f4fc33de49,
