EntryID,SenseID,EngDesc,SpaDesc,ZapDesc,AssociatedTaxa,SpecimenImagesByTaxa
E0099,S0000,Garlic. It is considered to have various medicinal properties.,El ajo. Se considera que tiene numerosas propiedades medicinales.,"Aju. Nácabe rusiandani binni napa biduyu, casi ca xcuidi. Naquiiñe gabicabeni casi guibanicabe, ora ca'ru' gócabe gueta. Ne nuu binni napa baduri'ni' rixubini ruaa biaaniyoo ti guiladxini bidxaa.",,
E0100,S0001,Camphor. It is considered to have medicinal properties for combatting children's cough and flu. When used for this purpose it is boiled in water then cooled and used to wash the child.,"El alcanfor. Se considera que tiene propiedades medicinales contra la tos y la gripa de los niños. Para esto, se hierve, se deja enfriar y se lava al niño con el agua.","Alcanfor. Rusiandani xcuidi napa ru ne guidxaga. Rindaabini, ne ora ma' biandani rugazenecabeni ca xcuidi.",,
E0101,S0002,Arum lily.,El alcatraz.,"Nacani ti guie' naquichi', nadudu. Peru laaca nuuni de guirálu, casi  naxiñá', naguchi. Nabé sicarúni, qué rihuinnipeni neza lu ca xilatedi', purti' ricáni ra nananda.",,
E1132,S0003,Almond. Almond tree.,La almendra. La fruta del almendro. El almendro.,"Yaga biziaaxtia. Nuu chupa nezani, tobini rudii ti cuananaxhi naguchi ne xtobini rudii ti cuananaxhi naxiñá'. Binni napa dxiña nabé róni, purti' nácabe racanéni laacabe ne xquendahuaracabe.",,
E0105,S0004,Star anise. It is used to help children expel gas and also to help them fall asleep.,El anís estrella. Se utiliza para sacarle el aire a los niños y ayudarlos a dormir.,Anís estrella. Rugue'cabeni ca baduhuiini' ti cueeca' bi ne ganda gasica'.,,
E1195,S0005,"Fermented drink based on corn. It is generally produced by women from San Blas and sold in the Juchitán market. It used to be consumed as an alcoholic beverage. It has been used to cure fright, in enemas and for the removal of blackheads.","El anisado de maíz. Generalmente lo producen señoras de San Blas mediante la fermentación del maíz y lo venden en el Mercado de Juchitán. Anteriormente se consumía como bebida embriagante. Se ha utilizado en la cura de susto, para lavativas y para quitar espinillas negras de la piel.","Ca binni San Blas runini, rusabacabe xuba' ndaani' nisa de ra gacani naí'. Rutoocabeni ndaani' luguiaa xti' Guidxiguie'. Dxique güe' binnini, ruxhudxini. Riquiiñecabeni para gannacabe dxiibi. Ricaacabeni cuaana' ne laaca racaneni guiá lu binni, raxhani bexa yaase'.",,
E0108,S0006,"Annona. This term refers to plants belonging to the Annonaceae family and can be used to refer to both the annona tree as well as its fruit. The fruit is an aggregate fruit, meaning that it is produced by the fusion of the ovaries of multiple flowers. This results in a single larger fruit. It is similar to the fruit known as <papause>. It is edible and has an abundance of seeds. It is grown in the Almoloya and Tierra Grande regions in the months of June and July.","La anona. Este término se refiere a plantas de la familia Annonaceae y se puede utilizar para referirse tanto al árbol que produce la fruta conocida como anona como a su fruto. El fruto es de tipo compuesto, es decir que es el producto de la fusión de los ovarios de varias flores. Es similar al papause, comestible y con mucha semilla, y se produce en las zonas húmedas de Almoloya y Tierra Grande en junio y julio.","Guendabidxu. Nuu chupa nezani, tobini lá guendabidxu, nambooloni. Ne xtobini lá guendabidxu ique bere, má nabiuxe. Rinda' naxhicani ne nanixecani. Ora napa xcuidi biduyu ruyaacabeni laaca' siado', casi zibanica', ti gusabaca' ca mani'di'. Nabé ricáni ra nuu yu nagudxa, casi lu guidxi Almoloya ne Tierra Grande. Yagadi' rudiini cuananaxhi lu beeu san Juan ne santiaagu'.",,
E0109,S0007,Celery.,El apio.,"Rului'ni ti batuuba', nabatani, napani bandaga nayu'la'ga, nuu binni re'ni. Ruutucabeni ne guichibiagueta ne xnisa naranja. Nácabe rindeteni lu dxiña.",,
E0110,S0008,Arnica. This term refers to <Tithonia diversifolia> belonging to the Asteraceae family. Its leaves are considered to have medicinal properties that help to alleviate pain from bumps or bruises. Its flower resembles a daisy and is not considered to have any particular use.,El árnica. Nombre con el que se designa a <Tithonia diversifolia> de la familia Asteraceae. Se considera que su hoja tiene propiedades medicinales que ayudan a aliviar los golpes. La flor es similar a una margarita y no se le da ningún uso.,"Laani nga ti yaga bandaga rudiini ti guie' naguchi, rului'ni ti guie' lá lu diidxaxtia 'margarita'. Luni ricá ti xcá nayu. Ca xpandagasini riquiiñe binni, racanecani gucheechecani lu yuuba' ne ra gucaná.",<Tithonia diversifolia>;<Tithonia>,"163269ce9e0834b8b295d86eff4691c0,5eeafcb0214c848ccf80fef11acb432b,0695c3fb0a1fd0738756d85d47ac912c,7026308ddafcc3637da5fdb6dd5cdf63"
E0111,S0009,Rice.,Arroz.,"Arrozdi', riquiiñe binnini ora huara, nuu binni derú cayanda que zandadi' gódi' intiicasi, ngue runi rucuícabe nisa arroz ne ti ndaa canela. Ne laaca biyaacabeni dxique ca gunaa deru guxana. Arrozdi', runinecabe laa ti guendaró nabé nanixe, lá: arroz bendabuaa, ruchaganecabeni ti nisa guiiña' rabicabe laa, chilitu.",,
